method,AUC_TSTR_mean,AUC_TSTR_std,AUC_TSTRp_mean,AUC_TSTRp_std,AUC_TRTR_mean,KS_avg,W1_avg,FrobCorrDist,SignMatch,FidelityProxy,StructureProxy,UtilityProxy_TSTR,UtilityProxy_TSTRp,FidelityNorm,StructureNorm,UtilityNorm_TSTR,UtilityNorm_TSTRp,FinalScore_TSTR,FinalScore_TSTRp
ADASYN,0.6112985345691383,0.0433102172140225,0.611374624248497,0.04396751406221365,0.6082720127755511,0.030072993291357014,0.06311474686106704,0.5990004414818532,0.6722222222222222,0.9582090978741635,0.6534896119828283,0.6112985345691383,0.611374624248497,0.5328375875230538,0.0,0.9464339974823109,0.9683622360373523,0.4704233548777621,0.47700182644427447
AZR,0.553268255260521,0.025724712400521883,0.5993274048096192,0.04466798520890001,0.6082720127755511,0.04604898724955256,0.054319827843799094,0.5846047567436927,0.7333333333333333,0.9517621257041823,0.6924288774836105,0.553268255260521,0.5993274048096192,0.0,0.7933184722418752,0.0,0.0,0.1983296180604688,0.1983296180604688
BorderlineSMOTE,0.6119503068637274,0.0414840160229864,0.6117682239478958,0.04246610822748756,0.6082720127755511,0.029030840660418833,0.06075674204381487,0.5952973033076631,0.7,0.9596707792686343,0.6707369624274088,0.6119503068637274,0.6117682239478958,0.6536444977162786,0.3513841755602699,0.9570639559378892,1.0,0.6037408048721317,0.6166216180907649
SMOTE,0.6145829158316634,0.04467173799338125,0.6113426853707414,0.04317087779204356,0.6082720127755511,0.025925506532496256,0.05424971620012914,0.5233821688473276,0.7333333333333333,0.963861445123352,0.7025736392219041,0.6145829158316634,0.6113426853707414,1.0,1.0,1.0,0.965794971181192,0.8999999999999999,0.8897384913543576
