run,method,model,KS_avg,W1_avg,FrobCorrDist,SignMatch,AUC_TRTR,AUC_TSTR,AUC_TSTR_plus
1,SMOTE,LR,0.024405431177175255,0.051445888034085036,0.5229213081458236,0.6944444444444444,0.5433366733466933,0.5360283066132265,0.5387211923847697
1,SMOTE,RF,0.024405431177175255,0.051445888034085036,0.5229213081458236,0.6944444444444444,0.640740856713427,0.6513934118236473,0.65155623747495
1,SMOTE,GBC,0.024405431177175255,0.051445888034085036,0.5229213081458236,0.6944444444444444,0.608191382765531,0.6273547094188376,0.6136648296593187
1,SMOTE,HGBT,0.024405431177175255,0.051445888034085036,0.5229213081458236,0.6944444444444444,0.6408191382765531,0.6482026553106213,0.6497682865731462
1,BorderlineSMOTE,LR,0.029368952417315172,0.0623436330806065,0.5780765415702428,0.7222222222222222,0.5433366733466933,0.5574962424849699,0.5521042084168337
1,BorderlineSMOTE,RF,0.029368952417315172,0.0623436330806065,0.5780765415702428,0.7222222222222222,0.640740856713427,0.65218875250501,0.657940881763527
1,BorderlineSMOTE,GBC,0.029368952417315172,0.0623436330806065,0.5780765415702428,0.7222222222222222,0.608191382765531,0.6197332164328657,0.6186466683366734
1,BorderlineSMOTE,HGBT,0.029368952417315172,0.0623436330806065,0.5780765415702428,0.7222222222222222,0.6408191382765531,0.6378507014028056,0.6452655310621244
1,ADASYN,LR,0.030046814614270285,0.06355364721464753,0.6002464270560167,0.6666666666666666,0.5433366733466933,0.5353895290581163,0.5398672344689379
1,ADASYN,RF,0.030046814614270285,0.06355364721464753,0.6002464270560167,0.6666666666666666,0.640740856713427,0.6466401553106212,0.6491827404809619
1,ADASYN,GBC,0.030046814614270285,0.06355364721464753,0.6002464270560167,0.6666666666666666,0.608191382765531,0.6287512525050101,0.6165393286573146
1,ADASYN,HGBT,0.030046814614270285,0.06355364721464753,0.6002464270560167,0.6666666666666666,0.6408191382765531,0.6301102204408818,0.626371492985972
1,AZR,LR,0.04317869087792675,0.05731233169246441,0.5755560923395807,0.7222222222222222,0.5433366733466933,0.5029934869739479,0.5169150801603206
1,AZR,RF,0.04317869087792675,0.05731233169246441,0.5755560923395807,0.7222222222222222,0.640740856713427,0.5818480711422847,0.6361347695390783
1,AZR,GBC,0.04317869087792675,0.05731233169246441,0.5755560923395807,0.7222222222222222,0.608191382765531,0.5516627004008016,0.6023922845691383
1,AZR,HGBT,0.04317869087792675,0.05731233169246441,0.5755560923395807,0.7222222222222222,0.6408191382765531,0.574624248496994,0.6167898296593187
2,SMOTE,LR,0.02397353659719818,0.05170497584095177,0.5544936344794411,0.6666666666666666,0.5433366733466933,0.553694889779559,0.5499812124248497
2,SMOTE,RF,0.02397353659719818,0.05170497584095177,0.5544936344794411,0.6666666666666666,0.640740856713427,0.6581694639278558,0.6512525050100202
2,SMOTE,GBC,0.02397353659719818,0.05170497584095177,0.5544936344794411,0.6666666666666666,0.608191382765531,0.6346630761523047,0.6164923597194389
2,SMOTE,HGBT,0.02397353659719818,0.05170497584095177,0.5544936344794411,0.6666666666666666,0.6408191382765531,0.6294338677354709,0.6264403807615231
2,BorderlineSMOTE,LR,0.027626009780416086,0.05958859290799404,0.6009450535729657,0.6944444444444444,0.5433366733466933,0.5407940881763527,0.5424160821643287
2,BorderlineSMOTE,RF,0.027626009780416086,0.05958859290799404,0.6009450535729657,0.6944444444444444,0.640740856713427,0.655561122244489,0.6426509268537074
2,BorderlineSMOTE,GBC,0.027626009780416086,0.05958859290799404,0.6009450535729657,0.6944444444444444,0.608191382765531,0.6153525801603207,0.6182552605210421
2,BorderlineSMOTE,HGBT,0.027626009780416086,0.05958859290799404,0.6009450535729657,0.6944444444444444,0.6408191382765531,0.6272858216432866,0.6406813627254508
2,ADASYN,LR,0.02942614197934121,0.0620365884308276,0.5972289862331773,0.6666666666666666,0.5433366733466933,0.539810871743487,0.5418461923847695
2,ADASYN,RF,0.02942614197934121,0.0620365884308276,0.5972289862331773,0.6666666666666666,0.640740856713427,0.6467027805611223,0.6505761523046092
2,ADASYN,GBC,0.02942614197934121,0.0620365884308276,0.5972289862331773,0.6666666666666666,0.608191382765531,0.6414892284569139,0.6239197144288577
2,ADASYN,HGBT,0.02942614197934121,0.0620365884308276,0.5972289862331773,0.6666666666666666,0.6408191382765531,0.6472758016032065,0.6256513026052105
2,AZR,LR,0.04683346265974958,0.055405241983826264,0.5855013593639541,0.7222222222222222,0.5433366733466933,0.5268724949899799,0.5352141783567135
2,AZR,RF,0.04683346265974958,0.055405241983826264,0.5855013593639541,0.7222222222222222,0.640740856713427,0.5653243987975952,0.6366326402805611
2,AZR,GBC,0.04683346265974958,0.055405241983826264,0.5855013593639541,0.7222222222222222,0.608191382765531,0.5416426603206413,0.6118486973947896
2,AZR,HGBT,0.04683346265974958,0.055405241983826264,0.5855013593639541,0.7222222222222222,0.6408191382765531,0.5666896292585171,0.6305172845691382
3,SMOTE,LR,0.02776065926711482,0.05747539455957159,0.5174807932978281,0.8055555555555556,0.5433366733466933,0.5365167835671343,0.541000751503006
3,SMOTE,RF,0.02776065926711482,0.05747539455957159,0.5174807932978281,0.8055555555555556,0.640740856713427,0.6566007014028056,0.648440631262525
3,SMOTE,GBC,0.02776065926711482,0.05747539455957159,0.5174807932978281,0.8055555555555556,0.608191382765531,0.6246085921843687,0.618687374749499
3,SMOTE,HGBT,0.02776065926711482,0.05747539455957159,0.5174807932978281,0.8055555555555556,0.6408191382765531,0.6224198396793588,0.6216495490981964
3,BorderlineSMOTE,LR,0.029247126691254417,0.06258073113930435,0.5926720327657827,0.6666666666666666,0.5433366733466933,0.5471630761523045,0.5471505511022045
